CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
40997900,MR WASABI,Queens,4232,BELL BOULEVARD,11361,Japanese,3/13/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,10,A,3/13/24,3/16/24,Cycle Inspection / Re-inspection,40.76220028,-73.77030923,411,19,146700,4450632,4062840036,QN46
50070200,SAHARA'S TURKISH CUISINE,Manhattan,513,2 AVENUE,10016,Turkish,3/5/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,42,Z,3/5/24,3/16/24,Cycle Inspection / Re-inspection,40.74140323,-73.97834775,106,2,6600,1019899,1009090031,MN20
50139541,REAL SABOR,Manhattan,206,AUDUBON AVENUE,10033,Spanish,2/20/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,19,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.84512194,-73.93498494,112,10,26100,1063221,1021330020,MN36
50016888,LOS TACOS MCONDO,Brooklyn,502,GRAND STREET,11211,Mexican,3/7/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,41,Z,3/7/24,3/16/24,Cycle Inspection / Re-inspection,40.71097447,-73.95078173,301,34,51300,3323031,3027850005,BK73
50066640,FISHERMAN'S COVE,Brooklyn,4917,CHURCH AVENUE,11203,Caribbean,3/15/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33,Z,3/15/24,3/16/24,Cycle Inspection / Re-inspection,40.65170189,-73.93112344,317,41,86800,3102092,3046750038,BK96
50112608,CAFE ROUND K,Manhattan,78,CANAL STREET,10002,Coffee/Tea,2/26/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,100,,,3/16/24,Pre-permit (Operational) / Compliance Inspection,40.71524196,-73.99307401,103,1,1600,1003785,1002930012,MN27
50063628,BROOKSIDE MARKET,Queens,4315,QUEENS BLVD,11104,Coffee/Tea,1/2/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,16,,,3/16/24,Cycle Inspection / Initial Inspection,40.74345603,-73.92124831,402,26,18300,4001939,4001620044,QN31
50109204,SUPER GYRO,Manhattan,1624,MADISON AVENUE,10029,Greek,1/3/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,17,,,3/16/24,Cycle Inspection / Initial Inspection,40.79522106,-73.94833191,111,9,17401,1051583,1016140017,MN33
50068093,BIRCH COFFEE,Manhattan,171,EAST   88 STREET,10128,Coffee/Tea,2/23/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,2/23/24,3/16/24,Cycle Inspection / Re-inspection,40.78044564,-73.95378495,108,5,14802,1048084,1015170033,MN40
50143925,CHINA KING,Staten Island,14,BRADLEY AVENUE,10314,Chinese,1/16/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,40,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.61205539,-74.13231892,501,50,18901,5094813,5007280113,SI07
50129758,DD SOUP DUMPLING & HIBACHI,Manhattan,690,9 AVENUE,10036,Japanese,1/29/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,54,,,3/16/24,Pre-permit (Operational) / Compliance Inspection,40.76191095,-73.9900802,104,3,12700,1025085,1010380004,MN15
41531476,ANGIE'S BREAKFAST SPOT,Brooklyn,1637,BROADWAY,11207,Latin American,1/24/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,21,B,1/24/24,3/16/24,Cycle Inspection / Re-inspection,40.68493784,-73.91403068,304,37,40100,3078953,3034140004,BK78
50077479,New Hardee Kitchen Inc.,Brooklyn,126,HULL STREET,11233,Chinese,1/22/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,1/22/24,3/16/24,Cycle Inspection / Initial Inspection,40.67954728,-73.91068108,316,37,36900,3337940,3015390001,BK79
41251040,THE BOILER ROOM,Manhattan,86,EAST    4 STREET,10003,American,3/12/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,18,Z,3/12/24,3/16/24,Cycle Inspection / Re-inspection,40.72611369,-73.98929543,103,2,3800,1006168,1004450009,MN22
50052217,LUNA CAFE,Bronx,601,EAST  187 STREET,10458,Coffee/Tea,2/9/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,24,,,3/16/24,Cycle Inspection / Initial Inspection,40.85550149,-73.88745656,206,15,38900,2097284,2030770001,BX06
50016982,AIRS CHAMPAGNE PARLOR,Manhattan,127,MACDOUGAL STREET,10012,French,1/30/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,33,,,3/16/24,Cycle Inspection / Initial Inspection,40.73052228,-74.00005412,102,2,6500,1008763,1005430059,MN23
50144256,CILANTRO NYC,Manhattan,485,COLUMBUS AVENUE,10024,Mexican,3/12/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,3/12/24,3/16/24,Pre-permit (Operational) / Initial Inspection,40.78476936,-73.9734117,107,6,16900,1031215,1011970003,MN12
50110487,MI TEA,Manhattan,101,MACDOUGAL STREET,10012,Coffee/Tea,3/5/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,70,Z,3/5/24,3/16/24,Cycle Inspection / Re-inspection,40.72954789,-74.00087676,102,1,6500,1008732,1005420050,MN23
50142247,THE GRAPE LEAF COMPANY,Brooklyn,404,COURT STREET,11231,Middle Eastern,1/23/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,45,C,1/23/24,3/16/24,Pre-permit (Operational) / Re-inspection,40.68047958,-73.99681283,306,39,6500,3004974,3003560035,BK33
41701298,CHINESE GOURMET,Bronx,1810,CEDAR AVENUE,10453,Chinese,2/20/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,12,A,2/20/24,3/16/24,Cycle Inspection / Re-inspection,40.85268259,-73.92017865,205,16,20502,2009227,2028810005,BX36
50131115,GREEN LEAF BISTRO NYC,Queens,12717,LIBERTY AVE,11419,Salads,1/3/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,41,N,,3/16/24,Cycle Inspection / Initial Inspection,40.68883215,-73.81748242,410,29,15802,4204001,4095650053,QN55
40692209,DUNKIN,Queens,7167,YELLOWSTONE BOULEVARD,11375,Donuts,1/26/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,1/26/24,3/16/24,Cycle Inspection / Initial Inspection,40.72093128,-73.85523432,406,29,70900,4440278,4031890010,QN17
50145494,VAN LEEUWEN,Manhattan,89,EAST   42 STREET,10017,Frozen Desserts,2/27/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,2/27/24,3/16/24,Pre-permit (Operational) / Initial Inspection,40.75209393,-73.97760435,105,4,9200,1035381,1012800001,MN19
50108954,CHICK CHICK,Manhattan,618,AMSTERDAM AVENUE,10024,Chicken,3/11/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,30,N,,3/16/24,Cycle Inspection / Initial Inspection,40.79014629,-73.97322537,107,6,17500,1033310,1012370033,MN12
40423481,KINGSTON TROPICAL BAKERY,Bronx,4000,WHITE PLAINS ROAD,10466,Caribbean,2/2/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,2/2/24,3/16/24,Cycle Inspection / Re-inspection,40.8886112,-73.86001076,212,12,40600,2063475,2048400042,BX44
50108600,ROYAL YARD FOOD,Brooklyn,802,FRANKLIN AVENUE,11238,Caribbean,2/28/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,85,,,3/16/24,Cycle Inspection / Initial Inspection,40.67095026,-73.95787695,308,35,21700,3029660,3011810052,BK61
50001643,MAMASITA BAR,Manhattan,818,10 AVENUE,10019,Mexican,2/8/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,2/8/24,3/16/24,Cycle Inspection / Initial Inspection,40.76741691,-73.98977974,104,3,13900,1026781,1010640004,MN15
50071317,FOOD SING RESTAURANT,Brooklyn,172,GRAND STREET,11211,Chinese,3/14/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,3/14/24,3/16/24,Cycle Inspection / Re-inspection,40.71439566,-73.96106705,301,34,55100,3062788,3023930009,BK73
40383044,PIZZA WAGON,Brooklyn,8606,5 AVENUE,11209,Pizza,1/11/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,30,,,3/16/24,Cycle Inspection / Initial Inspection,40.62136502,-74.02632843,310,43,16000,3153551,3060450039,BK31
50146667,POLASH INDIAN RESTAURANT,Manhattan,2321,1 AVENUE,10035,Indian,2/22/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,19,N,,3/16/24,Pre-permit (Non-operational) / Initial Inspection,40.79780482,-73.93409227,111,8,18800,1054720,1017950030,MN34
50040952,FRESH WHITE SWAN BAKERY,Manhattan,88,EAST BROADWAY,10002,Bakery Products/Desserts,3/7/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,3/7/24,3/16/24,Cycle Inspection / Initial Inspection,40.71373788,-73.9940914,103,1,800,1066526,1002820044,MN27
41160885,HOP LEE RESTAURANT,Manhattan,16,MOTT STREET,10013,Chinese,1/31/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,30,,,3/16/24,Cycle Inspection / Initial Inspection,40.71414425,-73.99873026,103,1,2900,1001686,1001620009,MN27
50116736,FEDERICO'S PIZZERIA,Brooklyn,2313,86 STREET,11214,Pizza,1/23/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,53,,,3/16/24,Cycle Inspection / Initial Inspection,40.6003701,-73.99124223,311,43,29800,3185350,3068580071,BK29
50040490,SLICE,Queens,4811,VERNON BLVD,11101,Pizza,2/29/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,21,,,3/16/24,Cycle Inspection / Initial Inspection,40.74394855,-73.95367684,402,26,700,4000264,4000440104,QN31
50142786,DA ANDREA RISTORANTE,Manhattan,160,8 AVENUE,10011,Italian,2/6/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,29,,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.74215459,-74.00075784,104,3,8100,1013859,1007670071,MN13
50120350,BLACK IRIS,Brooklyn,277,CUMBERLAND STREET,11238,Other,1/31/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,31,,,3/16/24,Cycle Inspection / Initial Inspection,40.68736026,-73.97266464,302,35,18100,3059394,3021190023,BK68
50011059,PARDON MY FRENCH,Manhattan,103,AVENUE B,10009,French,1/23/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26,,,3/16/24,Cycle Inspection / Initial Inspection,40.72482264,-73.9813765,103,2,2602,1004672,1003890006,MN28
50137850,DAKAR AFRICAN RESTAURANT  & GRILL,Bronx,16,EAST MOUNT EDEN AVENUE,10452,African,1/9/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,36,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.84416422,-73.91434458,204,16,20900,2008139,2028460032,BX63
50083754,JUNGLE CAFE,Brooklyn,131,GREENPOINT AVENUE,11222,Vegetarian,3/6/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,22,Z,3/6/24,3/16/24,Cycle Inspection / Re-inspection,40.73012645,-73.95502508,301,33,56500,3064721,3025580054,BK76
41537807,LIBERTY DINER,Bronx,2059,WILLIAMSBRIDGE ROAD,10461,American,2/23/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,23,,,3/16/24,Cycle Inspection / Initial Inspection,40.85488592,-73.85494887,211,13,24800,2100155,2043060005,BX49
41225183,PARADIS TO GO,Manhattan,114,4 AVENUE,10003,American,2/1/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,29,,,3/16/24,Cycle Inspection / Initial Inspection,40.73261611,-73.99007376,102,2,6100,1083083,1005570022,MN23
50138506,SEEK COFFEE,Queens,3186,37TH ST,11103,American,1/19/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,43,,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.76027792,-73.92015625,401,22,6100,4000000,4006490001,QN70
50129758,DD SOUP DUMPLING & HIBACHI,Manhattan,690,9 AVENUE,10036,Japanese,1/29/24,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,54,,,3/16/24,Pre-permit (Operational) / Compliance Inspection,40.76191095,-73.9900802,104,3,12700,1025085,1010380004,MN15
50072375,NORA THAI,Brooklyn,176,NORTH    9 STREET,11211,Thai,3/14/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,46,Z,3/14/24,3/16/24,Cycle Inspection / Re-inspection,40.71866198,-73.95611509,301,33,51700,3061809,3023120011,BK73
50143496,EMOJI BURGER,Queens,3620,30TH AVE,11103,American,3/7/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,3/7/24,3/16/24,Pre-permit (Operational) / Initial Inspection,40.76489523,-73.91716163,401,22,6300,4010016,4006510049,QN70
50120350,BLACK IRIS,Brooklyn,277,CUMBERLAND STREET,11238,Other,1/31/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,31,,,3/16/24,Cycle Inspection / Initial Inspection,40.68736026,-73.97266464,302,35,18100,3059394,3021190023,BK68
50105091,GOLDEN BLUE BAR & RESTAURANT,Brooklyn,2172,CLARENDON ROAD,11226,Caribbean,2/23/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,2/23/24,3/16/24,Cycle Inspection / Re-inspection,40.64269528,-73.9572931,314,45,79000,3119607,3051870011,BK95
40396548,PUGSLEY PIZZA,Bronx,590,EAST  191 STREET,10458,Pizza,3/4/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,36,Z,3/4/24,3/16/24,Cycle Inspection / Re-inspection,40.85906971,-73.88475362,206,15,39700,2016269,2032730283,BX06
50142531,THE MEAT CORNER,Brooklyn,6001,7 AVENUE,11220,Chinese,1/24/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,48,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.6367245,-74.01184315,307,43,11800,3143588,3057850009,BK34
50129451,EURO PIZZA,Staten Island,3271,RICHMOND AVENUE,10312,Pizza,1/25/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,50,,,3/16/24,Cycle Inspection / Initial Inspection,40.55943806,-74.16953435,503,51,14607,5073737,5055330047,SI54
50118370,Buddies Coffee,Brooklyn,150,GRAND STREET,11249,American,1/24/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,48,,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.71478024,-73.96201192,301,34,55100,3413906,3023920017,BK73
50118024,OTWAY BAKERY,Brooklyn,920,FULTON STREET,11238,Coffee/Tea,1/19/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,22,,,3/16/24,Cycle Inspection / Initial Inspection,40.68290041,-73.96418626,302,35,20100,3335108,3020130033,BK69
50080071,LION'S HEAD TAVERN,Manhattan,995,AMSTERDAM AVENUE,10025,American,2/15/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,26,,,3/16/24,Cycle Inspection / Initial Inspection,40.80217139,-73.96443248,107,7,19300,1056029,1018630061,MN09
41336841,#1 SABOR LATINO RESTAURANT,Bronx,4120,WHITE PLAINS ROAD,10466,Latin American,3/12/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,Z,3/12/24,3/16/24,Cycle Inspection / Re-inspection,40.89117578,-73.85859114,212,11,42200,2063603,2048430045,BX44
50119451,THE SPOT CARIBBEAN CUISINE,Brooklyn,1203,SUTTER AVENUE,11208,Caribbean,2/1/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,20,,,3/16/24,Cycle Inspection / Initial Inspection,40.6725433,-73.87350882,305,42,119600,3095362,3042480001,BK82
50060722,EL MERO MERO,Queens,3557,38TH ST,11101,Mexican,1/2/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,32,,,3/16/24,Cycle Inspection / Initial Inspection,40.75464526,-73.92358477,401,26,15700,4010871,4006680043,QN70
50094543,MBL & Q BURGER,Brooklyn,4310,8 AVENUE,11232,Chicken,3/14/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,24,Z,3/14/24,3/16/24,Cycle Inspection / Re-inspection,40.64491554,-73.99977658,307,38,9200,3011025,3007320043,BK34
50107069,WILD CRAB HOUSE,Staten Island,1209,FOREST AVENUE,10310,Cajun,3/12/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,12,A,3/12/24,3/16/24,Cycle Inspection / Re-inspection,40.62638823,-74.13031565,501,49,14100,5006486,5002380205,SI22
50139389,MOMEMTOS SPORT BAR,Queens,4107,99TH ST,11368,Mexican,2/15/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,41,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.74773826,-73.86554467,404,21,40700,4040469,4016160007,QN26
50075251,THE GRAHAM,Brooklyn,151,MESEROLE STREET,11206,American,2/28/24,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,73,Z,2/28/24,3/16/24,Cycle Inspection / Re-inspection,40.70809712,-73.94306871,301,34,49300,3071005,3030440037,BK78
41305588,BUNNY DELI,Manhattan,1522,ST NICHOLAS AVENUE,10033,Sandwiches,3/7/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,27,Z,3/7/24,3/16/24,Cycle Inspection / Re-inspection,40.85252514,-73.93137014,112,10,26900,1063788,1021570067,MN35
50144690,CHELSEA JUICE,Manhattan,200,WEST   14 STREET,10011,"Juice, Smoothies, Fruit Salads",3/13/24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,39,N,,3/16/24,Pre-permit (Operational) / Initial Inspection,40.73871815,-74.00011187,102,3,7700,1011111,1006180032,MN23
